neighbourhood,beds,yearly_revenue,availability_365,city
Geuzenveld - Slotermeer,5.0,72402.33333333333,0.9027397260273972,Amsterdam
Geuzenveld - Slotermeer,6.0,32870.0,0.473972602739726,Amsterdam
IJburg - Zeeburgereiland,1.0,35299.52,0.7813150684931507,Amsterdam
IJburg - Zeeburgereiland,2.0,58938.030303030304,0.7621419676214197,Amsterdam
IJburg - Zeeburgereiland,3.0,75657.61111111111,0.8277016742770167,Amsterdam
IJburg - Zeeburgereiland,4.0,88674.55999999998,0.7998173515981736,Amsterdam
IJburg - Zeeburgereiland,5.0,89179.54411764705,0.87767929089444,Amsterdam
IJburg - Zeeburgereiland,6.0,99549.02999999998,0.8942465753424657,Amsterdam
IJburg - Zeeburgereiland,7.0,124787.44999999995,0.8191780821917808,Amsterdam
IJburg - Zeeburgereiland,8.0,69361.0,0.3808219178082191,Amsterdam
IJburg - Zeeburgereiland,12.0,74688.0,0.5260273972602739,Amsterdam
IJburg - Zeeburgereiland,14.0,30082.0,0.2438356164383561,Amsterdam
IJburg - Zeeburgereiland,20.0,107621.79999999992,0.5808219178082191,Amsterdam
Noord-Oost,1.0,31858.085714285717,0.677573385518591,Amsterdam
Noord-Oost,2.0,51736.67857142857,0.7258317025440314,Amsterdam
Noord-Oost,3.0,60071.40740740741,0.8346017250126839,Amsterdam
Noord-Oost,4.0,58190.33947368421,0.7604902667627974,Amsterdam
Noord-Oost,5.0,80869.0,0.9610958904109588,Amsterdam
Noord-Oost,6.0,12978.666666666666,0.2694063926940638,Amsterdam
Noord-Oost,8.0,33171.0,0.4630136986301369,Amsterdam
Noord-West,1.0,37771.553846153845,0.7882402528977871,Amsterdam
Noord-West,2.0,55180.81888888889,0.8138203957382041,Amsterdam
Noord-West,3.0,67320.51,0.8292846270928462,Amsterdam
Noord-West,4.0,71391.03846153847,0.8424657534246576,Amsterdam
Noord-West,5.0,52441.5,0.6613013698630137,Amsterdam
Noord-West,6.0,43751.142857142855,0.6547945205479452,Amsterdam
Noord-West,7.0,66045.0,0.7095890410958904,Amsterdam
Oostelijk Havengebied - Indische Buurt,1.0,47164.66467065868,0.8207694200639817,Amsterdam
Oostelijk Havengebied - Indische Buurt,2.0,64680.04583333333,0.8280821917808219,Amsterdam
Oostelijk Havengebied - Indische Buurt,3.0,71086.07142857143,0.8612524461839529,Amsterdam
Oostelijk Havengebied - Indische Buurt,4.0,95967.7222222222,0.8136986301369863,Amsterdam
Oostelijk Havengebied - Indische Buurt,5.0,77686.75,0.9582191780821918,Amsterdam
Oostelijk Havengebied - Indische Buurt,6.0,91250.0,1.0,Amsterdam
Oostelijk Havengebied - Indische Buurt,18.0,182500.0,1.0,Amsterdam
Osdorp,1.0,40147.42083333333,0.7771689497716896,Amsterdam
Osdorp,2.0,38909.8,0.5859360730593608,Amsterdam
Osdorp,3.0,90350.0,0.7616438356164383,Amsterdam
Osdorp,4.0,64125.5,0.623972602739726,Amsterdam
Oud-Noord,1.0,43222.26232394367,0.7255064634381633,Amsterdam
Oud-Noord,2.0,61018.57833333333,0.8347945205479452,Amsterdam
Oud-Noord,3.0,78475.98404255319,0.827105800058292,Amsterdam
Oud-Noord,4.0,91334.18214285714,0.8708414872798433,Amsterdam
Oud-Noord,5.0,87115.88333333332,0.7525114155251142,Amsterdam
Oud-Noord,6.0,44999.833333333336,0.8730593607305936,Amsterdam
Oud-Noord,12.0,46848.0,0.2885844748858447,Amsterdam
Oud-Noord,13.0,41310.0,0.2465753424657534,Amsterdam
Oud-Noord,14.0,121328.34999999992,0.6547945205479452,Amsterdam
Oud-Noord,16.0,142649.6499999999,0.7698630136986301,Amsterdam
Oud-Noord,18.0,107114.14999999992,0.5780821917808219,Amsterdam
Oud-Noord,20.0,58379.74999999996,0.3150684931506849,Amsterdam
Oud-Noord,22.0,1015.2999999999992,0.0054794520547945,Amsterdam
Oud-Noord,24.0,130466.0499999999,0.7041095890410959,Amsterdam
Oud-Noord,26.0,78178.09999999995,0.421917808219178,Amsterdam
Oud-Noord,30.0,3553.549999999997,0.0191780821917808,Amsterdam
Oud-Noord,33.0,147218.49999999988,0.7945205479452054,Amsterdam
Oud-Oost,1.0,53926.807692307695,0.8261011591148577,Amsterdam
Oud-Oost,2.0,79676.48205128204,0.8273972602739726,Amsterdam
Oud-Oost,3.0,78955.49242424243,0.8481527604815275,Amsterdam
Oud-Oost,4.0,85421.43275862068,0.7826169107227209,Amsterdam
Oud-Oost,5.0,96611.0,0.7753424657534247,Amsterdam
Oud-Oost,6.0,82125.0,1.0,Amsterdam
Slotervaart,1.0,37760.741139240505,0.7833535633778395,Amsterdam
Slotervaart,2.0,66204.33333333333,0.7888698630136987,Amsterdam
Slotervaart,3.0,70370.125,0.8719178082191781,Amsterdam
Slotervaart,4.0,78956.62499999999,0.7895890410958903,Amsterdam
Slotervaart,5.0,86611.66666666667,0.9945205479452056,Amsterdam
Watergraafsmeer,1.0,45400.23333333333,0.8080669710806697,Amsterdam
Watergraafsmeer,2.0,69782.7475,0.7917808219178082,Amsterdam
Watergraafsmeer,3.0,78096.18918918919,0.8293224731580896,Amsterdam
Watergraafsmeer,4.0,89692.79137931032,0.8180444024563062,Amsterdam
Watergraafsmeer,5.0,112186.21666666665,0.8986301369863013,Amsterdam
Watergraafsmeer,6.0,97060.0,0.9575342465753424,Amsterdam
Watergraafsmeer,7.0,72400.0,0.9917808219178084,Amsterdam
Watergraafsmeer,8.0,107257.0,0.7753424657534247,Amsterdam
Watergraafsmeer,13.0,127510.0,0.852054794520548,Amsterdam
Westerpark,1.0,54316.10058823529,0.8118855761482676,Amsterdam
Westerpark,2.0,79644.58151260503,0.8266835501323818,Amsterdam
Westerpark,3.0,84192.50238095237,0.7994129158512719,Amsterdam
Westerpark,4.0,72857.89473684209,0.6658976207642394,Amsterdam
Westerpark,5.0,98983.33333333331,0.954337899543379,Amsterdam
Westerpark,6.0,91345.0,0.9493150684931508,Amsterdam
Westerpark,7.0,137802.0,0.978082191780822,Amsterdam
Westerpark,11.0,71585.0,0.6945205479452055,Amsterdam
Westerpark,16.0,95945.84999999992,0.5178082191780822,Amsterdam
Westerpark,26.0,73609.24999999994,0.3972602739726027,Amsterdam
Zuid,1.0,52235.67276264592,0.7445765151111349,Amsterdam
Zuid,2.0,73951.377734375,0.7796875,Amsterdam
Zuid,3.0,95928.56666666664,0.8324657534246576,Amsterdam
Zuid,4.0,108438.3976190476,0.8028049575994781,Amsterdam
Zuid,5.0,112510.65555555552,0.7165905631659056,Amsterdam
Zuid,6.0,133035.16249999998,0.8712328767123287,Amsterdam
Zuid,8.0,57399.27499999998,0.6068493150684932,Amsterdam
Alsergrund,1.0,14919.58981233244,0.735671526681112,Vienna
Alsergrund,2.0,17785.815668202766,0.5775519222271321,Vienna
Alsergrund,3.0,19648.762711864405,0.512143022985837,Vienna
Alsergrund,4.0,14130.02564102564,0.3312258517737969,Vienna
Alsergrund,5.0,21696.444444444445,0.380517503805175,Vienna
Alsergrund,6.0,14770.0,0.3079452054794521,Vienna
Alsergrund,7.0,22201.2,0.3008219178082192,Vienna
Alsergrund,8.0,26328.0,0.3232876712328767,Vienna
Brigittenau,1.0,12036.381147540984,0.5627217606108242,Vienna
Brigittenau,2.0,13494.440414507771,0.5256157285825821,Vienna
Brigittenau,3.0,14310.64705882353,0.3962933118452861,Vienna
Brigittenau,4.0,17105.571428571428,0.4818982387475538,Vienna
Brigittenau,5.0,26139.68421052632,0.4857966834895458,Vienna
Brigittenau,6.0,29200.0,1.0,Vienna
Brigittenau,7.0,17710.0,0.210958904109589,Vienna
Brigittenau,8.0,22064.0,0.3910958904109589,Vienna
Brigittenau,9.0,30903.33333333333,0.4977168949771689,Vienna
Brigittenau,13.0,38148.0,0.5123287671232877,Vienna
Brigittenau,14.0,36924.0,0.4958904109589041,Vienna
Brigittenau,18.0,43010.0,0.5123287671232877,Vienna
Donaustadt,1.0,11422.054054054051,0.4742539800074047,Vienna
Donaustadt,2.0,15984.323529411764,0.5311845286059629,Vienna
Donaustadt,3.0,17871.767441860466,0.4851863650844218,Vienna
Donaustadt,4.0,19943.222222222223,0.6041095890410959,Vienna
Donaustadt,5.0,33414.1,0.5495890410958904,Vienna
Donaustadt,6.0,55081.0,0.8184931506849316,Vienna
Donaustadt,7.0,18611.33333333333,0.5716894977168949,Vienna
Donaustadt,8.0,47561.5,0.6397260273972603,Vienna
Dbling,1.0,12820.300970873786,0.672536241521479,Vienna
Dbling,2.0,16915.10714285714,0.599184605348989,Vienna
Dbling,3.0,21377.72,0.5251506849315069,Vienna
Dbling,4.0,32837.142857142855,0.7324200913242008,Vienna
Dbling,5.0,25649.666666666668,0.4799086757990867,Vienna
Dbling,8.0,15180.0,0.1808219178082191,Vienna
Dbling,10.0,73715.0,0.8780821917808219,Vienna
Dbling,12.0,150.0,0.0027397260273972,Vienna
Favoriten,1.0,10775.51489361702,0.4615797143689886,Vienna
Favoriten,2.0,15479.683582089552,0.5292578204866081,Vienna
Favoriten,3.0,19661.2,0.4887279843444226,Vienna
Favoriten,4.0,15790.616666666669,0.407351598173516,Vienna
Favoriten,5.0,14279.125,0.3582191780821918,Vienna
Favoriten,6.0,27166.0,0.467351598173516,Vienna
Favoriten,7.0,28117.5,0.684931506849315,Vienna
Favoriten,8.0,15506.666666666666,0.2091324200913241,Vienna
Favoriten,12.0,20470.0,0.2438356164383561,Vienna
Floridsdorf,1.0,10140.5,0.5752409944190766,Vienna
Floridsdorf,2.0,9908.652173913044,0.3780424856065118,Vienna
Floridsdorf,3.0,19731.030303030304,0.4193441261934412,Vienna
